Résumé,Clé de ticket,Lien de ticket sortant (Duplicate)
"Finance/Comptabilité générale/Plan comptable tiers entité/ Doublons compte tiers client",OD-2709,OBCS-10365
"Suppression de toutes les opérations effectué sur  2024",OD-2708,OBCS-10360
"Devis - CRM : Donner la possibilité de pouvoir saisir un devis à partir d'une offre quelque soit le type d'opération",OD-2707,OBCS-10359
"Finance/Comptabilité Général/ Audit - Réconciliation bancaire {Message d'erreur lors d'une opération de réconciliation bancaire}",OD-2706,OBCS-10356
"Opérations/Tableau de bord inventaire- Vérification cohérence de données Dashboard inventaire",OD-2705,OBCS-10355
"Finance/Tableau de bord trésorerie- Vérification cohérence de données Dashboard trésorerie",OD-2704,OBCS-10354
"Opération/Tableau de bord Achat- Vérification cohérence de données Dashboard fournisseurs",OD-2703,OBCS-10353
"Projet/Gestion Projet - Impossible de modifier les dates d'un projet, une notification ""Attention"" affiche sans donner suite à l'action",OD-2702,OBCS-10351
"Fonctionnalité exclusion : Intégration exclusion de certains journaux de la balance",OD-2701,OBCS-10350
"Opération/Tableau de bord Vente - Vérification cohérence de données Dashboard Vente",OD-2700,OBCS-10349
"ENVIPUR/RH/Paramétrage/Catégorie - Impossible d'éditer et de visualiser les details de la catégorie.",OD-2699,OBCS-10348
"RH/Document/Gestion des Employés - Impossible d'afficher & imprimer un contrat journalier sur la base",OD-2698,OBCS-10347
"Ecriture manuelle - Ventilation : A l'enregistrement d'une opération ventilé avec une valeur négative, elle apparait vide dans l'historique des données",OD-2697,OBCS-10346
"Ecriture manuelle : A l'édition d'une écriture manuelle avec pour valeur négative, il est impossible d'enregistrer. Il met un message d'erreur en P.J",OD-2696,OBCS-10345
"Facture vente : A l'édition d'une facture vente, les taux des taxes disparaissent. Et à la modification des montant la taxe ne se met pas automatiquement à jour",OD-2695,OBCS-10344
"Opération/Achat/ Bon de commande - Erreur lors del'édition d'un bon de commande",OD-2693,OBCS-10329
"La base fiscale reste égale à la base sociale bien que la prime de fonction soit socialement imposable",OD-2692,OBCS-10317
"Dysfonctionnement sur l'affichage des Etats résumé des cotisations sociales",OD-2691,OBCS-10316
"Labogem : Intégration Processus de vente (Modèle devis, Ordre d'exécution, facture client)",OD-2690,OBCS-10275
"Opération/Achat /Immobilisation - La création de sous totaux pour chaque famille d'immobilisation",OD-2689,OBCS-10274
"Module Finance / Comptabilité Générale /Livre comptable - Ecart balance Exercice 2024",OD-2688,OBCS-10273
"Opération>Vente :  Dans le formulaire de Devis , dans le Détail, le champ offre affiche toutes les offres des entités de l'entreprise . Filtrer les informations par entité",OD-2687,OBCS-10267
"OBC - Réorganisation des dossiers / Modules & Fonctionnalité",OD-2686,OBCS-10266
"Opération/Achat/Facture Avoir - Prendre en compte la réinitialisation du bon de commande après une facture d'avoir.",OD-2685,OBCS-10265
"Finance/Comptabilité Générale / PROGRAMMATION PAIEMENT DETTE",OD-2683,OBCS-10263
"Comptabilisation de la paie : Message d'erreur à la génération des écritures de paie",OD-2682,OBCS-10248
"Facture vente/Modification/Impossible de modifier les factures ventes",OD-2681,OBCS-10202
"BL - Import en Excel : EN cliquant sur le lien, la page devient noir, impossible de faire un import",OD-2680,OBCS-10201
"Nous constatons un mauvais calcul du total cotisation à cause des rubriques qui ont le sous-groupe RETRAITE qui ont changé en passant à un champ vide",OD-2679,OBCS-10200
"RH/Gestion Employé/Fichier du personnel - Fonction Export de données",OD-2678,OBCS-10180
"Finance - Comptabilité Générale - Ecart Balance",OD-2677,OBCS-10179
"Suivi des requêtes workflow/Processus de demande d'achat/Valider une facture achat/ Quand on clique sur Détails facture achat rien n'apparait comme récap après le chargement",OD-2676,OBCS-10178
"Rh/Calcul OHADA : Quand on clique sur la fonctionnalité ""calcul Ohada"" , on a un message d'erreur (voir capture)",OD-2675,OBCS-10124
"Donner la possibilité de pouvoir rattacher tout type de document au Dévis",OD-2673,OBCS-10090
"Offre/fiche offre BTP/ Avoir la possibilité de supprimer une fiche offre BTP",OD-2672,OBCS-10010
"Au niveau du bulletin de salaire le nombre de jours récupéré est différent de celui renseigné dans la fiche de personne comme stock de démarrage des congés",OD-2671,OBCS-10009
"Server Error in '/' Application.",OD-2670,OBCS-10008
"RH/Calcul de paie/Autre Paie - Historique de paie vide après calcul de salaire pour simulation gratification",OD-2669,OBCS-10004
"Finance/Comptabilité Générale/Plan comptable Général - Fusionner les comptes en double dans le plan comptable",OD-2668,OBCS-9999
"Finance/Comptabilité Générale/Edition Compte Général - Impossible de modifier un plan comptable",OD-2666,OBCS-9996
"RH/Calcul Salaire/ Autre Paie - Fournir davantage d'informations sur les Rubriques concernées.",OD-2665,OBCS-9994
"Améliorer la qualité des extractions Excel des balances, Bilan et Comptes de résultats",OD-2664,OBCS-9992
"Comptabilité générale : Avoir les numéros de pièces sur le grand livre en plus des numéros d'imputations",OD-2663,OBCS-9991
"Comptabilité générale / Livres comptables : Ne pas avoir de nombre décimaux sur les livres comptables (Journal, Grand Livre, Balance comptable)",OD-2661,OBCS-9989
"Nous constatons un message d'erreur à la modification d'une fiche article qui a été importé",OD-2660,OBCS-9988
"Gestion de stock/toutes les fonctionnalités/Après chargement de la page il apparait un message",OD-2659,OBCS-9987
"Finance/Comptabilité Générale/ Livre comptable - Faire disparaitre les virgules pour ne conserver que les nombre entiers",OD-2658,OBCS-9986
"Admin.Syst/Gestion Utilisateur - Affichage d'un message d'erreur lors de l'octroi des droits et accès aux fonctionnalités.",OD-2657,OBCS-9985
"Impôts et taxes : Quand on supprime une taxe, la page devient blanche",OD-2656,OBCS-9977
"CRM : Incohérence des données entre le Dashboard  INVENTAIRE et les enregistrements faits",OD-2655,OBCS-9976
"Finance/Comptabilité Générale/ Journal Général - La Suppression d'une opération dans Journal général est impossible et Plante l’application",OD-2654,OBCS-9974
"Mr YOH n'arrive pas à valider les demandes sur FCEM or il est dans les workflows",OD-2653,OBCS-9925
"Etas financiers : Quand on génère les états financiers de 2024, les données de 2023 n'apparaissent pas",OD-2652,OBCS-9924
"RH/Salaire/Calcul de salaire occasionnel ou journalier - Dans le listing des salaires occasionnels les données ne correspondent pas au montant réel des salaires",OD-2650,OBCS-9889
"Mise en place Template OBC V2",OD-2649,OBCS-9888
"Finance/Comptabilité générale/Solde de démarrage des comptes : En historique, le filtre de recherche (voir capture) ne fonctionne pas",OD-2648,OBCS-9887
"RH/Gestion des Employés/Contrat - Demande de Suppression Contrat enquêteur enregistrer le 11/05/2025",OD-2647,OBCS-9885
"RH/Gestion des Employés/Contrat - Suppression Contrat enquêteur  enregistrer  le 12/05/2025",OD-2646,OBCS-9884
"RH/Gestion_Employé/Timesheet Journalier - Donner la possibilité d'importer les données à partir d'un fichier import",OD-2645,OBCS-9883
"RH/Gestion Employé/Productivité Journalière - Créer un fichier d'importation",OD-2644,OBCS-9882
"RH/Gestion Employé/Contrat - Donner plus de détails sur les lignes non Importé",OD-2643,OBCS-9881
"Plan analytique : Figer les plans analytiques existant dans une comptabilité analytique (ARIC) sans toutefois empêcher le fait qu'on puisse choisir nos plans pour certains (Cas de K&D)",OD-2642,OBCS-9880
"Fichier import BL : Permettre l'import du Bon de livraison à partir de l'export de Teamo afin d'alimenter OBC",OD-2641,OBCS-9879
"Caisse : A l'édition d'une opération de caisse, le formulaire met assez de temps à s'afficher.",OD-2640,OBCS-9878
"Comptabilité/Plan comptable tiers entité : Impossible de créer et de modifier un poste comptable",OD-2639,OBCS-9877
"Dashboard audit projet/ sur le PL des projets, la facture d'avoir au niveau des projets au lieu de venir en diminution elle vient plus en augmentation",OD-2637,OBCS-9868
"Opération/Vente/Contrat souscripteur et Encaissement - Possibilité de supprimer un contrat de vente bien que des encaissements aient été effectué",OD-2636,OBCS-9844
"Intégration des plans analytiques multiples dans les fonctionnalités",OD-2635,OBCS-9785
"RH/Gestion Employé/Validation demande d'absence - Donner la possibilité de validé en cliquant sur la case à cocher pour valider a partir du formulaire",OD-2634,OBCS-9784
"RH/Pointage/Calcul Salaire - Prise en compte des heures de retards de façon automatique",OD-2633,OBCS-9780
"Affichage de logo en haut et au bas de la feuille d'impression",OD-2632,OBCS-9779
"Intégration de modèles de factures ventes",OD-2631,OBCS-9777
"Impossible d'imprimer une demande d'absence (autre que congés annuel) quand l'accès imprimer est coché chez l'utilisateur",OD-2630,OBCS-9776
"Point de requêtes sur l'enregistrement d'une opportunité",OD-2629,OBCS-9775
"Achat/Facture client : Quand on choisi un bon de commande , les quantités et prix unitaires ne s'actualisent pas",OD-2627,OBCS-9772
"Opération/Achat/Enregistrement Bon de C à partir d'une Expression de besoin",OD-2626,OBCS-9771
"Facture Achat : Quand on veut enregistrer une facture à partir d'un bon de commande comprenant plusieurs lignes, seulement 2lignes se déversent",OD-2625,OBCS-9765
"Opération/vente/ Facture - Créer un lien entre OBC et la plateforme FNE afin de récupérer automatiquement les factures saisie",OD-2624,OBCS-9764
"Facture client_ Résoudre l'anomalie concernant le rapport avec le nom produit/service avec des longue chaines de caractère",OD-2623,OBCS-9763
"Facture client : Possibilité d'incrémenter les numéros de factures clients à partir du dernier numéro de facture",OD-2622,OBCS-9762
"Facture_client - Historique et Export : Afficher ""intitulé"" dans l'historique et l'export de facture client",OD-2621,OBCS-9761
"Incrémentation des numéros code client : Possibilité d'incrémenter automatiquement les codes clients.",OD-2620,OBCS-9760
"Operations caisse - Bénéficiaire et Ressource entrée :  Ajouter une liste déroulante qui récupèrera la liste des employées à la saisie et au click ( création et Edition)",OD-2619,OBCS-9759
"Opération/vente/Devis - Donner la possibilité d'afficher les devis enregistré uniquement par l'utilisateur",OD-2618,OBCS-9757
"Opération/Vente/Encaissement client - Incohérence des montants : ""avance"" & ""initial"" sur le bon de versement à chaque versement effectué",OD-2617,OBCS-9756
"RH/Document/Livre de Paie-Bulletin - Base de calcul  Retraite et Accident de travail",OD-2616,OBCS-9737
"Achat : Impossible d'éditer les factures 437 et 438 du fournisseur DR ADDAI",OD-2615,OBCS-9736
"Dashboard Parc auto/Impossible de visualiser les onglets du dashboard parc automobile",OD-2614,OBCS-9720
"Dashboard projet/Audit projet/Impossible d'accéder au gant chart",OD-2613,OBCS-9719
"Stock de congés : Mise à jour automatique des stocks de congés des collaborateurs depuis Janvier 2025 - Incrément de 2.5 jours acquis mensuel",OD-2612,OBCS-9718
"Opération/Vente/Création compte client - Générer les codes clients en fonction du code sélectionné dans Poste comptable",OD-2611,OBCS-9717
"RH/Gratification: Avant l'intégration de ""autres paies"" , la gratification a été calculé et après l'intégration les montants calculés sont différents de ceux trouvés en Décembre à quelques francs près.",OD-2608,OBCS-9714
"RH/Salaire/ Historique de calcul de paie",OD-2607,OBCS-9713
"RH/DOcument/Livre de paie Individuel - Impossible d'afficher la liste des employés",OD-2606,OBCS-9712
"Intégration d'une IA générative au logiciel OBC",OD-2605,OBCS-9710
"OPERATION/BON DE COMMANDE : Quand on enregistre ou modifie un bon de commande, on a un message d'erreur (voir capture)",OD-2604,OBCS-9670
"Lors de la paie , toute les références se déversent",OD-2603,OBCS-9666
"RH : Lorsqu'on fais la paie , le calcul des nets est incorrectes",OD-2602,OBCS-9665
"RH: Quand on calcul une paie, l'historique n'apparait pas ou réapparais après un long moment et disparais",OD-2601,OBCS-9664
"RH/Contrat de travail : Les grades sur OCCI sont en doublons",OD-2600,OBCS-9663
"Impossible de calculer une paie et les historiques de paies ont disparus",OD-2599,OBCS-9662
"RH/Salaire & Document/ - Suppression de la valeur contenue dans la rubrique retenue prêt salarié",OD-2598,OBCS-9661
"RH/FINANCE/Comptabilisation de la paie - Lors de la comptabilisation de la paie si les paramétrages sont effectué sans un numéro de poste comptable par employé, donner la possibilité d'avoir uniquement le montant groupé ou total",OD-2597,OBCS-9660
"Etat Résumé des cotisations mensuelles : Mise à jour des données",OD-2596,OBCS-9659
"Mise à niveau des paramètres d'envoi de mail pour le recouvrement client",OD-2595,OBCS-9658
"Suppression du plan comptable généré par OBC et intégration de plan comptable des associations",OD-2593,OBCS-9654
"RH/Contrat de travail : Quand on a 2 entités définies comme base de travail , on a la possibilité de créer le contrat d'un employé sur une entité sur laquelle il n'a pas de fichier de personnel",OD-2592,OBCS-9653
"Lier des comptes analytiques à un plan analytique",OD-2591,OBCS-9652
"Avoir un plan analytique multiple",OD-2590,OBCS-9651
"Calcul OHADA/Autre paies : Quand on veux supprimer une ""autre paie"" , on a le récap de toutes les paies du mois (voir capture)",OD-2589,OBCS-9650
"Demande de sortie + Opération de caisse : Avoir la possibilité de joindre un fichier à la demande et à l'opération de caisse (Entrée+Sortie)",OD-2588,OBCS-9649
"RH/Document/Livre de Paie Employé - Impossible d'imprimer un livre de paie individuel",OD-2587,OBCS-9613
"RH/Salaire/solde de Tout compte - Prise en compte Non effective des soldes négatif",OD-2585,OBCS-9609
"RH/Salaire/Solde de Tout compte - Aucune données en historique bien que l'enregistrement soit effectué",OD-2584,OBCS-9608
"Pop up écriture manuelle vs ventilation analytique : Bien que n'ayant pas activer la ventilation analytique à partir des écritures manuelles, à chaque saisie avec un compte de charge, le pop up de proposition de ventilation apparait systématiquement",OD-2583,OBCS-9607
"Chargement des articles : Dans budget de dépenses, lorsqu'on crée une rubrique qui rappelle les articles stockables, la liste charge indéfiniment jusqu'à planter.",OD-2582,OBCS-9606
